candidates,cue,associations,score_fool_the_ai,num_associations,annotation_index,num_candidates,solvers_jaccard_mean,solvers_jaccard_std,images_source,ID
"[""tea"", ""marshmallow"", ""pile"", ""splinter"", ""relic"", ""rose"", ""product"", ""heater"", ""hanger"", ""children"", ""furniture"", ""heroin""]",thorn,"[""splinter"", ""rose""]",67,2,3,12,1,0,random,0
"[""tea"", ""marshmallow"", ""pile"", ""splinter"", ""relic"", ""rose"", ""product"", ""heater"", ""hanger"", ""children"", ""furniture"", ""heroin""]",dissolve,"[""tea"", ""marshmallow"", ""heroin""]",100,3,5,12,1,0,random,1
"[""bread"", ""dancing"", ""pad"", ""soap"", ""column"", ""cabinet"", ""porch"", ""asylum"", ""dip"", ""pod""]",meatsacks,"[""dancing"", ""asylum""]",100,2,7,10,1,0,random,2
"[""bread"", ""dancing"", ""pad"", ""soap"", ""column"", ""cabinet"", ""porch"", ""asylum"", ""dip"", ""pod""]",lines,"[""dancing"", ""asylum""]",100,2,8,10,1,0,random,3
"[""bread"", ""dancing"", ""pad"", ""soap"", ""column"", ""cabinet"", ""porch"", ""asylum"", ""dip"", ""pod""]",savory,"[""bread"", ""dip""]",0,2,10,10,1,0,random,4
"[""whirlwind"", ""monk"", ""handyman"", ""ski"", ""zoo"", ""rope"", ""barn"", ""mermaid"", ""throat"", ""saw""]",multiple,"[""handyman"", ""zoo"", ""barn""]",80,3,14,10,1,0,random,5
"[""whirlwind"", ""monk"", ""handyman"", ""ski"", ""zoo"", ""rope"", ""barn"", ""mermaid"", ""throat"", ""saw""]",capture,"[""zoo"", ""rope""]",67,2,15,10,1,0,random,6
"[""whirlwind"", ""monk"", ""handyman"", ""ski"", ""zoo"", ""rope"", ""barn"", ""mermaid"", ""throat"", ""saw""]",ocean,"[""whirlwind"", ""mermaid""]",67,2,17,10,1,0,random,7
"[""flood"", ""pancreas"", ""island"", ""godfather"", ""shower"", ""camera"", ""darts"", ""reporter"", ""blender"", ""airplane"", ""drool"", ""ark""]",important,"[""godfather"", ""reporter""]",100,2,18,12,1,0,random,8
"[""flood"", ""pancreas"", ""island"", ""godfather"", ""shower"", ""camera"", ""darts"", ""reporter"", ""blender"", ""airplane"", ""drool"", ""ark""]",camera,"[""camera"", ""reporter""]",67,2,20,12,1,0,random,9
"[""flood"", ""pancreas"", ""island"", ""godfather"", ""shower"", ""camera"", ""darts"", ""reporter"", ""blender"", ""airplane"", ""drool"", ""ark""]",water,"[""flood"", ""island"", ""shower""]",50,3,21,12,1,0,random,10
"[""flood"", ""pancreas"", ""island"", ""godfather"", ""shower"", ""camera"", ""darts"", ""reporter"", ""blender"", ""airplane"", ""drool"", ""ark""]",lifejacket,"[""flood"", ""island""]",100,2,22,12,1,0,random,11
"[""flood"", ""pancreas"", ""island"", ""godfather"", ""shower"", ""camera"", ""darts"", ""reporter"", ""blender"", ""airplane"", ""drool"", ""ark""]",mob,"[""godfather"", ""reporter""]",0,2,23,12,1,0,random,12
"[""bunny"", ""darts"", ""cloak"", ""hog"", ""gift"", ""airplane"", ""icing"", ""structure"", ""border"", ""bag"", ""snack"", ""clerk""]",quadruped,"[""bunny"", ""hog""]",0,2,29,12,1,0,random,13
"[""chin"", ""liter"", ""pretzel"", ""tea"", ""bottom"", ""sweater"", ""tower"", ""cutlery"", ""mommy"", ""tree""]",orchard,"[""bottom"", ""tree""]",0,2,31,10,1,0,random,14
"[""chin"", ""liter"", ""pretzel"", ""tea"", ""bottom"", ""sweater"", ""tower"", ""cutlery"", ""mommy"", ""tree""]",urine,"[""liter"", ""tea""]",0,2,33,10,1,0,random,15
"[""chin"", ""liter"", ""pretzel"", ""tea"", ""bottom"", ""sweater"", ""tower"", ""cutlery"", ""mommy"", ""tree""]",gulp,"[""liter"", ""tea""]",67,2,35,10,1,0,random,16
"[""batman"", ""needle"", ""mule"", ""stereo"", ""hook"", ""chlorine"", ""credit card"", ""dice"", ""pine"", ""kitten""]",number,"[""chlorine"", ""credit card"", ""dice""]",50,3,36,10,0.83,0.24,random,17
"[""batman"", ""needle"", ""mule"", ""stereo"", ""hook"", ""chlorine"", ""credit card"", ""dice"", ""pine"", ""kitten""]",four,"[""chlorine"", ""credit card"", ""dice""]",50,3,37,10,1,0,random,18
"[""batman"", ""needle"", ""mule"", ""stereo"", ""hook"", ""chlorine"", ""credit card"", ""dice"", ""pine"", ""kitten""]",nocturnal,"[""batman"", ""kitten""]",0,2,38,10,1,0,random,19
"[""batman"", ""needle"", ""mule"", ""stereo"", ""hook"", ""chlorine"", ""credit card"", ""dice"", ""pine"", ""kitten""]",dance,"[""mule"", ""stereo""]",100,2,39,10,1,0,random,20
"[""batman"", ""needle"", ""mule"", ""stereo"", ""hook"", ""chlorine"", ""credit card"", ""dice"", ""pine"", ""kitten""]",gamble,"[""credit card"", ""dice""]",67,2,40,10,1,0,random,21
"[""batman"", ""needle"", ""mule"", ""stereo"", ""hook"", ""chlorine"", ""credit card"", ""dice"", ""pine"", ""kitten""]",dark,"[""batman"", ""stereo""]",67,2,41,10,1,0,random,22
"[""clicker"", ""walrus"", ""antarctic"", ""colt"", ""singer"", ""tennis"", ""night"", ""prince"", ""hot"", ""sunburn"", ""roller coaster"", ""shepherd""]",animal,"[""walrus"", ""shepherd""]",67,2,42,12,1,0,random,23
"[""clicker"", ""walrus"", ""antarctic"", ""colt"", ""singer"", ""tennis"", ""night"", ""prince"", ""hot"", ""sunburn"", ""roller coaster"", ""shepherd""]",human,"[""tennis"", ""prince"", ""sunburn""]",50,3,43,12,1,0,random,24
"[""clap"", ""furniture"", ""china"", ""shoelace"", ""fender"", ""mug"", ""queen"", ""television"", ""splinter"", ""cola"", ""jigsaw"", ""billboard""]",boss,"[""queen"", ""billboard""]",67,2,48,12,1,0,random,25
"[""clap"", ""furniture"", ""china"", ""shoelace"", ""fender"", ""mug"", ""queen"", ""television"", ""splinter"", ""cola"", ""jigsaw"", ""billboard""]",drink,"[""mug"", ""cola""]",0,2,51,12,1,0,random,26
"[""clap"", ""furniture"", ""china"", ""shoelace"", ""fender"", ""mug"", ""queen"", ""television"", ""splinter"", ""cola"", ""jigsaw"", ""billboard""]",company,"[""cola"", ""jigsaw"", ""billboard""]",50,3,53,12,0.83,0.24,random,27
"[""champagne"", ""judo"", ""splinter"", ""neck"", ""blackboard"", ""marsh"", ""writer"", ""mice"", ""maple"", ""custard""]",nibble,"[""mice"", ""custard""]",67,2,55,10,1,0,random,28
"[""champagne"", ""judo"", ""splinter"", ""neck"", ""blackboard"", ""marsh"", ""writer"", ""mice"", ""maple"", ""custard""]",learn,"[""neck"", ""blackboard"", ""writer""]",50,3,59,10,1,0,random,29
"[""stallion"", ""mortar"", ""rolling"", ""sweetener"", ""primary school"", ""artery"", ""dogs"", ""liquor"", ""walnut"", ""stairs""]",human,"[""sweetener"", ""primary school""]",67,2,62,10,1,0,random,30
