HITId,candidates,cue,associations,score_fool_the_ai,num_associations,annotation_index,num_candidates,solvers_jaccard_mean,solvers_jaccard_std,images_source,ID
367O8HRHKGUXR0F746B6X8WDH534SA,"[""tea"", ""marshmallow"", ""pile"", ""splinter"", ""relic"", ""rose"", ""product"", ""heater"", ""hanger"", ""children"", ""furniture"", ""heroin""]",thorn,"[""splinter"", ""rose""]",67,2,3,12,1.0,0.0,random,0
367O8HRHKGUXR0F746B6X8WDH534SA,"[""tea"", ""marshmallow"", ""pile"", ""splinter"", ""relic"", ""rose"", ""product"", ""heater"", ""hanger"", ""children"", ""furniture"", ""heroin""]",dissolve,"[""tea"", ""marshmallow"", ""heroin""]",100,3,5,12,1.0,0.0,random,1
3ECKRY5B1QIO0J00KN7IN23Z923ZIO,"[""bread"", ""dancing"", ""pad"", ""soap"", ""column"", ""cabinet"", ""porch"", ""asylum"", ""dip"", ""pod""]",meatsacks,"[""dancing"", ""asylum""]",100,2,7,10,1.0,0.0,random,2
3ECKRY5B1QIO0J00KN7IN23Z923ZIO,"[""bread"", ""dancing"", ""pad"", ""soap"", ""column"", ""cabinet"", ""porch"", ""asylum"", ""dip"", ""pod""]",lines,"[""dancing"", ""asylum""]",100,2,8,10,1.0,0.0,random,3
3ECKRY5B1QIO0J00KN7IN23Z923ZIO,"[""bread"", ""dancing"", ""pad"", ""soap"", ""column"", ""cabinet"", ""porch"", ""asylum"", ""dip"", ""pod""]",savory,"[""bread"", ""dip""]",0,2,10,10,1.0,0.0,random,4
32LAQ1JNT9BXNYM18C7EKHQTI14UTB,"[""whirlwind"", ""monk"", ""handyman"", ""ski"", ""zoo"", ""rope"", ""barn"", ""mermaid"", ""throat"", ""saw""]",multiple,"[""handyman"", ""zoo"", ""barn""]",80,3,14,10,1.0,0.0,random,5
32LAQ1JNT9BXNYM18C7EKHQTI14UTB,"[""whirlwind"", ""monk"", ""handyman"", ""ski"", ""zoo"", ""rope"", ""barn"", ""mermaid"", ""throat"", ""saw""]",capture,"[""zoo"", ""rope""]",67,2,15,10,1.0,0.0,random,6
32LAQ1JNT9BXNYM18C7EKHQTI14UTB,"[""whirlwind"", ""monk"", ""handyman"", ""ski"", ""zoo"", ""rope"", ""barn"", ""mermaid"", ""throat"", ""saw""]",ocean,"[""whirlwind"", ""mermaid""]",67,2,17,10,1.0,0.0,random,7
3E22YV8GG1SM0G9LUUM81CX2L2QPN9,"[""flood"", ""pancreas"", ""island"", ""godfather"", ""shower"", ""camera"", ""darts"", ""reporter"", ""blender"", ""airplane"", ""drool"", ""ark""]",important,"[""godfather"", ""reporter""]",100,2,18,12,1.0,0.0,random,8
3E22YV8GG1SM0G9LUUM81CX2L2QPN9,"[""flood"", ""pancreas"", ""island"", ""godfather"", ""shower"", ""camera"", ""darts"", ""reporter"", ""blender"", ""airplane"", ""drool"", ""ark""]",camera,"[""camera"", ""reporter""]",67,2,20,12,1.0,0.0,random,9
3E22YV8GG1SM0G9LUUM81CX2L2QPN9,"[""flood"", ""pancreas"", ""island"", ""godfather"", ""shower"", ""camera"", ""darts"", ""reporter"", ""blender"", ""airplane"", ""drool"", ""ark""]",water,"[""flood"", ""island"", ""shower""]",50,3,21,12,1.0,0.0,random,10
3E22YV8GG1SM0G9LUUM81CX2L2QPN9,"[""flood"", ""pancreas"", ""island"", ""godfather"", ""shower"", ""camera"", ""darts"", ""reporter"", ""blender"", ""airplane"", ""drool"", ""ark""]",lifejacket,"[""flood"", ""island""]",100,2,22,12,1.0,0.0,random,11
3E22YV8GG1SM0G9LUUM81CX2L2QPN9,"[""flood"", ""pancreas"", ""island"", ""godfather"", ""shower"", ""camera"", ""darts"", ""reporter"", ""blender"", ""airplane"", ""drool"", ""ark""]",mob,"[""godfather"", ""reporter""]",0,2,23,12,1.0,0.0,random,12
34KYK9TV2RUHCZ0GJLLT5M2JRXJSB3,"[""bunny"", ""darts"", ""cloak"", ""hog"", ""gift"", ""airplane"", ""icing"", ""structure"", ""border"", ""bag"", ""snack"", ""clerk""]",quadruped,"[""bunny"", ""hog""]",0,2,29,12,1.0,0.0,random,13
3MA5N0ATTCXBCJLJ938N1EOUK4OWK6,"[""chin"", ""liter"", ""pretzel"", ""tea"", ""bottom"", ""sweater"", ""tower"", ""cutlery"", ""mommy"", ""tree""]",orchard,"[""bottom"", ""tree""]",0,2,31,10,1.0,0.0,random,14
3MA5N0ATTCXBCJLJ938N1EOUK4OWK6,"[""chin"", ""liter"", ""pretzel"", ""tea"", ""bottom"", ""sweater"", ""tower"", ""cutlery"", ""mommy"", ""tree""]",urine,"[""liter"", ""tea""]",0,2,33,10,1.0,0.0,random,15
3MA5N0ATTCXBCJLJ938N1EOUK4OWK6,"[""chin"", ""liter"", ""pretzel"", ""tea"", ""bottom"", ""sweater"", ""tower"", ""cutlery"", ""mommy"", ""tree""]",gulp,"[""liter"", ""tea""]",67,2,35,10,1.0,0.0,random,16
3MDWE879UHOZ7K4HAFL2ORXTZ9V9BA,"[""batman"", ""needle"", ""mule"", ""stereo"", ""hook"", ""chlorine"", ""credit card"", ""dice"", ""pine"", ""kitten""]",number,"[""chlorine"", ""credit card"", ""dice""]",50,3,36,10,0.83,0.24,random,17
